Data,Vacinados
24/01/2021 06:30,124691
24/01/2021 06:40,124697
24/01/2021 06:40,124697
24/01/2021 06:40,124697
24/01/2021 06:50,124705
24/01/2021 06:55,124707
24/01/2021 07:05,124712
24/01/2021 07:05,124712
24/01/2021 07:10,124715
24/01/2021 07:15,124720
24/01/2021 07:20,124724
24/01/2021 07:30,124756
24/01/2021 07:30,124756
24/01/2021 07:35,124773
24/01/2021 07:45,124822
24/01/2021 07:50,124859
24/01/2021 07:50,124859
24/01/2021 07:55,124894
24/01/2021 08:05,124946
24/01/2021 08:10,124968
24/01/2021 08:15,124990
24/01/2021 08:15,124990
24/01/2021 08:20,125011
24/01/2021 08:30,125073
24/01/2021 08:35,125101
24/01/2021 08:35,125101
24/01/2021 08:40,125137
24/01/2021 08:50,125203
24/01/2021 08:55,125274
24/01/2021 09:00,125326
24/01/2021 09:05,125373
24/01/2021 09:10,125420
24/01/2021 09:15,125476
24/01/2021 09:15,125476
24/01/2021 09:25,125580
24/01/2021 09:30,125633
24/01/2021 09:35,125681
24/01/2021 09:35,125681
24/01/2021 09:40,125731
24/01/2021 09:50,125838
24/01/2021 09:55,125887
24/01/2021 09:55,125887
24/01/2021 10:05,125972
24/01/2021 10:10,126025
24/01/2021 10:15,126075
24/01/2021 10:15,126075
24/01/2021 10:20,126121
24/01/2021 13:10,127630
24/01/2021 13:15,127670
24/01/2021 13:20,127712
24/01/2021 13:20,127712
24/01/2021 13:25,127750
24/01/2021 13:35,127814
24/01/2021 13:40,127881
24/01/2021 13:40,127881
24/01/2021 13:50,127947
24/01/2021 13:55,127988
24/01/2021 14:05,128074
24/01/2021 14:05,128074
24/01/2021 14:10,128090
24/01/2021 14:15,128170
24/01/2021 14:15,128170
24/01/2021 14:15,128170
24/01/2021 14:25,128274
24/01/2021 14:35,128339
24/01/2021 14:35,128339
24/01/2021 14:35,128339
24/01/2021 14:50,128451
24/01/2021 14:55,128514
24/01/2021 15:05,128604
24/01/2021 15:05,128604
24/01/2021 15:10,128662
24/01/2021 15:15,128694
24/01/2021 15:25,128796
24/01/2021 15:25,128796
24/01/2021 15:30,128807
24/01/2021 15:35,128869
24/01/2021 15:40,128931
24/01/2021 15:40,128931
24/01/2021 15:45,128990
24/01/2021 15:55,129080
24/01/2021 16:05,129144
24/01/2021 16:05,129144
24/01/2021 16:10,129207
24/01/2021 16:20,129288
24/01/2021 16:25,129331
24/01/2021 16:25,129331
24/01/2021 16:30,129350
24/01/2021 16:35,129374
24/01/2021 16:40,129402
24/01/2021 16:40,129402
24/01/2021 16:50,129453
24/01/2021 16:55,129477
24/01/2021 17:05,129550
24/01/2021 17:05,129550
24/01/2021 17:10,129594
24/01/2021 17:15,129619
24/01/2021 17:25,129717
24/01/2021 17:25,129717
24/01/2021 17:30,129760
24/01/2021 17:35,129796
24/01/2021 17:40,129842
24/01/2021 17:40,129842
24/01/2021 17:55,129923
24/01/2021 18:00,129993
24/01/2021 18:05,130040
24/01/2021 18:05,130040
24/01/2021 18:10,130079
24/01/2021 18:15,130133
24/01/2021 18:25,130197
24/01/2021 18:25,130197
24/01/2021 18:30,130222
24/01/2021 18:35,130244
24/01/2021 18:40,130269
24/01/2021 18:40,130269
24/01/2021 18:50,130321
24/01/2021 18:55,130328
24/01/2021 19:05,130390
24/01/2021 19:05,130390
24/01/2021 19:10,130405
24/01/2021 19:15,130424
24/01/2021 19:25,130471
24/01/2021 19:25,130471
24/01/2021 19:30,130494
24/01/2021 19:35,130515
24/01/2021 19:40,130535
24/01/2021 19:40,130535
24/01/2021 19:50,130578
24/01/2021 19:55,130593
24/01/2021 20:05,130622
24/01/2021 20:05,130622
24/01/2021 20:10,130627
24/01/2021 20:15,130656
24/01/2021 20:25,130676
24/01/2021 20:25,130676
24/01/2021 20:30,130686
24/01/2021 20:35,130701
24/01/2021 20:35,130701
24/01/2021 20:50,130746
24/01/2021 20:55,130759
24/01/2021 21:05,130784
24/01/2021 21:05,130784
24/01/2021 21:10,130792
24/01/2021 21:15,130800
24/01/2021 21:15,130800
24/01/2021 21:15,130800
24/01/2021 21:25,130819
24/01/2021 21:35,130834
24/01/2021 21:35,130834
24/01/2021 21:35,130834
24/01/2021 21:45,130844
24/01/2021 21:55,130865
24/01/2021 22:05,130876
24/01/2021 22:05,130876
24/01/2021 22:10,130892
24/01/2021 22:15,130895
24/01/2021 22:20,130897
24/01/2021 22:20,130897
24/01/2021 22:30,130903
24/01/2021 22:35,130909
24/01/2021 22:35,130909
24/01/2021 22:35,130909
24/01/2021 22:45,130920
24/01/2021 22:55,130927
24/01/2021 23:00,130930
24/01/2021 23:00,130930
24/01/2021 23:10,130932
24/01/2021 23:15,130941
24/01/2021 23:15,130941
24/01/2021 23:15,130941
24/01/2021 23:25,130945
24/01/2021 23:35,130950
24/01/2021 23:35,130950
24/01/2021 23:35,130950
24/01/2021 23:35,130950
24/01/2021 23:35,130950
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:05,130953
25/01/2021 00:35,130954
25/01/2021 00:35,130954
25/01/2021 00:35,130954
25/01/2021 00:45,130955
25/01/2021 00:55,130956
25/01/2021 01:05,130959
25/01/2021 01:05,130959
25/01/2021 01:05,130959
25/01/2021 01:20,130961
25/01/2021 01:25,130962
25/01/2021 01:25,130962
25/01/2021 01:30,130964
25/01/2021 01:35,130967
25/01/2021 01:40,130969
25/01/2021 01:40,130969
25/01/2021 01:50,130978
25/01/2021 01:55,130982
25/01/2021 02:05,130993
25/01/2021 02:10,130997
25/01/2021 02:10,130997
25/01/2021 02:15,131000
25/01/2021 02:25,131010
25/01/2021 02:30,131015
25/01/2021 02:35,131017
25/01/2021 02:35,131017
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 02:40,131021
25/01/2021 03:45,131022
25/01/2021 03:55,131023
25/01/2021 03:55,131023
25/01/2021 04:00,131025
