Data,Vacinados,Delta
2021-01-24 19:40:00,130535,20.0
2021-01-24 19:50:00,130578,43.0
2021-01-24 19:55:00,130593,15.0
2021-01-24 20:05:00,130622,29.0
2021-01-24 20:10:00,130627,5.0
2021-01-24 20:15:00,130656,29.0
2021-01-24 20:25:00,130676,20.0
2021-01-24 20:30:00,130686,10.0
2021-01-24 20:35:00,130701,15.0
2021-01-24 20:50:00,130746,45.0
2021-01-24 20:55:00,130759,13.0
2021-01-24 21:05:00,130784,25.0
2021-01-24 21:10:00,130792,8.0
2021-01-24 21:15:00,130800,8.0
2021-01-24 21:25:00,130819,19.0
2021-01-24 21:35:00,130834,15.0
2021-01-24 21:45:00,130844,10.0
2021-01-24 21:55:00,130865,21.0
2021-01-24 22:05:00,130876,11.0
2021-01-24 22:10:00,130892,16.0
2021-01-24 22:15:00,130895,3.0
2021-01-24 22:20:00,130897,2.0
2021-01-24 22:30:00,130903,6.0
2021-01-24 22:35:00,130909,6.0
2021-01-24 22:45:00,130920,11.0
2021-01-24 22:55:00,130927,7.0
2021-01-24 23:00:00,130930,3.0
2021-01-24 23:10:00,130932,2.0
2021-01-24 23:15:00,130941,9.0
2021-01-24 23:25:00,130945,4.0
2021-01-24 23:35:00,130950,5.0
2021-01-25 00:05:00,130953,3.0
2021-01-25 00:35:00,130954,1.0
2021-01-25 00:45:00,130955,1.0
2021-01-25 00:55:00,130956,1.0
2021-01-25 01:05:00,130959,3.0
2021-01-25 01:20:00,130961,2.0
2021-01-25 01:25:00,130962,1.0
2021-01-25 01:30:00,130964,2.0
2021-01-25 01:35:00,130967,3.0
2021-01-25 01:40:00,130969,2.0
2021-01-25 01:50:00,130978,9.0
2021-01-25 01:55:00,130982,4.0
2021-01-25 02:05:00,130993,11.0
2021-01-25 02:10:00,130997,4.0
2021-01-25 02:15:00,131000,3.0
2021-01-25 02:25:00,131010,10.0
2021-01-25 02:30:00,131015,5.0
2021-01-25 02:35:00,131017,2.0
2021-01-25 02:40:00,131021,4.0
2021-01-25 03:45:00,131022,1.0
2021-01-25 03:55:00,131023,1.0
2021-01-25 04:00:00,131025,2.0
2021-01-25 04:10:00,131027,2.0
2021-01-25 04:15:00,131029,2.0
2021-01-25 04:25:00,131031,2.0
2021-01-25 04:30:00,131033,2.0
2021-01-25 04:35:00,131034,1.0
2021-01-25 04:40:00,131036,2.0
2021-01-25 04:45:00,131038,2.0
2021-01-25 04:55:00,131040,2.0
2021-01-25 06:30:00,131045,5.0
2021-01-25 06:35:00,131049,4.0
2021-01-25 06:40:00,131060,11.0
2021-01-25 06:50:00,131067,7.0
2021-01-25 06:55:00,131078,11.0
2021-01-25 07:05:00,131110,32.0
2021-01-25 07:10:00,131129,19.0
2021-01-25 07:20:00,131193,64.0
